Coordinates,Attribute1,Attribute2,Metadata_1,Metadata_2,Metadata_3,Metadata_4,Metadata_5,File
"((1, 2), (2, 2))",10,155.53333333333336,500,2,2000,2,60204060505040401010404050106060406040301020305030104040606010403010504050204050506060504010103040,board_n_172.txt
"((1, 2), (1, 3))",9,137.77777777777777,500,2,2000,2,60204060505040401010404050106060406040301020305030104040606010403010504050204050506060504010103040,board_n_172.txt
"((1, 3), (2, 3))",12,180.5,500,2,2000,2,60204060505040401010404050106060406040301020305030104040606010403010504050204050506060504010103040,board_n_172.txt
"((2, 2), (2, 3))",13,189.23076923076923,500,2,2000,2,60204060505040401010404050106060406040301020305030104040606010403010504050204050506060504010103040,board_n_172.txt
"((2, 4), (3, 4))",10,157.0,500,2,2000,2,60204060505040401010404050106060406040301020305030104040606010403010504050204050506060504010103040,board_n_172.txt
"((3, 4), (3, 5))",1935,790.1676592428544,500,2,2000,2,60204060505040401010404050106060406040301020305030104040606010403010504050204050506060504010103040,board_n_172.txt
"((0, 1), (1, 1))",170,174.37450980392163,500,2,2000,2,60404060202050201060504050506040403060403030406010105010305050206020101050103010403020205020203020,board_n_614.txt
"((1, 3), (1, 4))",1195,314.6970047154148,500,2,2000,2,60404060202050201060504050506040403060403030406010105010305050206020101050103010403020205020203020,board_n_614.txt
"((3, 5), (3, 6))",487,216.09848114468247,500,2,2000,2,60404060202050201060504050506040403060403030406010105010305050206020101050103010403020205020203020,board_n_614.txt
"((5, 1), (5, 2))",148,166.75900900900902,500,2,2000,2,60404060202050201060504050506040403060403030406010105010305050206020101050103010403020205020203020,board_n_614.txt
"((0, 3), (1, 3))",31,170.83870967741936,500,2,2000,2,30103060306020505060301040103060202040103040304060202060402030101050606050402010503010603040302030,board_n_600.txt
"((1, 5), (2, 5))",28,159.5,500,2,2000,2,30103060306020505060301040103060202040103040304060202060402030101050606050402010503010603040302030,board_n_600.txt
"((2, 3), (3, 3))",1882,543.4473710844592,500,2,2000,2,30103060306020505060301040103060202040103040304060202060402030101050606050402010503010603040302030,board_n_600.txt
"((2, 4), (3, 4))",59,226.52542372881356,500,2,2000,2,30103060306020505060301040103060202040103040304060202060402030101050606050402010503010603040302030,board_n_600.txt
"((0, 3), (1, 3))",36,147.05555555555554,500,2,2000,2,30501040301020201040302030404050504020402020406040605030405060501060301060304030402020403010401030,board_n_166.txt
"((0, 4), (1, 4))",87,226.06896551724142,500,2,2000,2,30501040301020201040302030404050504020402020406040605030405060501060301060304030402020403010401030,board_n_166.txt
"((1, 2), (1, 3))",1674,412.5142942481647,500,2,2000,2,30501040301020201040302030404050504020402020406040605030405060501060301060304030402020403010401030,board_n_166.txt
"((3, 0), (3, 1))",63,201.33333333333334,500,2,2000,2,30501040301020201040302030404050504020402020406040605030405060501060301060304030402020403010401030,board_n_166.txt
"((4, 3), (5, 3))",40,157.87499999999997,500,2,2000,2,30501040301020201040302030404050504020402020406040605030405060501060301060304030402020403010401030,board_n_166.txt
