random,greedy,offline,mcts_base,mcts_fixed_depth,combined
3620,3520,5360,3240,6480,3040
1680,1800,5340,7700,2520,6760
2040,5120,2040,3860,21500,5400
1800,2280,2440,7560,10880,7160
1360,2960,1240,13480,3020,2220
1680,2040,3820,18700,6360,10440
2160,2160,11300,4720,2420,9120
1680,2720,1800,3340,7300,9280
6600,2420,3040,2860,4520,2840
1680,10960,1440,3420,3240,13780
8640,2520,1720,5520,3940,2280
2160,8080,4080,7960,8000,8460
2160,9500,1920,9940,8420,6220
3120,2180,3580,3080,4640,2900
2160,2740,1680,21120,5440,14180
1200,2840,2400,5060,4140,5020
1440,1920,1800,14540,20820,10400
1680,4580,5380,3960,4620,4600
1440,1800,14600,5120,4840,7720
2500,3820,3580,21980,11520,1920
2780,2640,3840,3940,4160,2040
2740,2880,2180,2900,3760,3240
1560,10580,8680,6840,12620,4900
2780,2640,3840,7260,7900,6740
8380,14120,8880,15540,8400,14840
1920,2400,8900,4460,10480,3360
1440,1440,7480,7880,3480,6040
2980,3460,19560,24060,16020,18400
2040,7360,5640,7220,4300,3320
3160,1680,2500,22880,3200,3720
1680,5500,3700,5920,5380,6740
1800,2040,14340,8120,4880,5860
2680,4780,3700,1680,5100,9840
3780,3500,1800,3300,2980,4460
2400,1440,1440,8920,6340,5300
1320,2040,6280,14840,28280,8760
1840,5660,1800,10640,12360,11580
